period,quarter,source,target,value,signed,neg
2015-01-25,FY2015 Q4,Operating Income,Tax & Other,38000000,38000000,False
2015-04-26,FY2016 Q1,Revenue,Gross Profit,653000000,653000000,False
2015-04-26,FY2016 Q1,Revenue,Cost of Revenue,498000000,498000000,False
2015-04-26,FY2016 Q1,Gross Profit,Operating Income,176000000,176000000,False
2015-04-26,FY2016 Q1,Gross Profit,Operating Expenses,477000000,477000000,False
2015-04-26,FY2016 Q1,Operating Income,Net Income,134000000,134000000,False
2015-04-26,FY2016 Q1,Operating Income,Tax & Other,42000000,42000000,False
2015-07-26,FY2016 Q2,Revenue,Gross Profit,634000000,634000000,False
2015-07-26,FY2016 Q2,Revenue,Cost of Revenue,519000000,519000000,False
2015-07-26,FY2016 Q2,Gross Profit,Operating Income,76000000,76000000,False
2015-07-26,FY2016 Q2,Gross Profit,Operating Expenses,558000000,558000000,False
2015-07-26,FY2016 Q2,Operating Income,Net Income,26000000,26000000,False
2015-07-26,FY2016 Q2,Operating Income,Tax & Other,50000000,50000000,False
2015-10-25,FY2016 Q3,Revenue,Gross Profit,733000000,733000000,False
2015-10-25,FY2016 Q3,Revenue,Cost of Revenue,572000000,572000000,False
2015-10-25,FY2016 Q3,Gross Profit,Operating Income,245000000,245000000,False
2015-10-25,FY2016 Q3,Gross Profit,Operating Expenses,488000000,488000000,False
2015-10-25,FY2016 Q3,Operating Income,Net Income,247000000,247000000,False
2015-10-25,FY2016 Q3,Operating Income,Tax & Other,2000000,-2000000,True
2016-01-31,FY2016 Q4,Revenue,Gross Profit,791000000,791000000,False
2016-01-31,FY2016 Q4,Revenue,Cost of Revenue,610000000,610000000,False
2016-01-31,FY2016 Q4,Gross Profit,Operating Income,252000000,252000000,False
2016-01-31,FY2016 Q4,Gross Profit,Operating Expenses,539000000,539000000,False
2016-01-31,FY2016 Q4,Operating Income,Net Income,207000000,207000000,False
2016-01-31,FY2016 Q4,Operating Income,Tax & Other,45000000,45000000,False
2016-05-01,FY2017 Q1,Revenue,Gross Profit,751000000,751000000,False
2016-05-01,FY2017 Q1,Revenue,Cost of Revenue,554000000,554000000,False
2016-05-01,FY2017 Q1,Gross Profit,Operating Income,245000000,245000000,False
2016-05-01,FY2017 Q1,Gross Profit,Operating Expenses,506000000,506000000,False
2016-05-01,FY2017 Q1,Operating Income,Net Income,208000000,208000000,False
2016-05-01,FY2017 Q1,Operating Income,Tax & Other,37000000,37000000,False
2016-07-31,FY2017 Q2,Revenue,Gross Profit,826000000,826000000,False
2016-07-31,FY2017 Q2,Revenue,Cost of Revenue,602000000,602000000,False
2016-07-31,FY2017 Q2,Gross Profit,Operating Income,317000000,317000000,False
2016-07-31,FY2017 Q2,Gross Profit,Operating Expenses,509000000,509000000,False
2016-07-31,FY2017 Q2,Operating Income,Net Income,261000000,261000000,False
2016-07-31,FY2017 Q2,Operating Income,Tax & Other,56000000,56000000,False
2016-10-30,FY2017 Q3,Revenue,Gross Profit,1183000000,1183000000,False
2016-10-30,FY2017 Q3,Revenue,Cost of Revenue,821000000,821000000,False
2016-10-30,FY2017 Q3,Gross Profit,Operating Income,639000000,639000000,False
2016-10-30,FY2017 Q3,Gross Profit,Operating Expenses,544000000,544000000,False
2016-10-30,FY2017 Q3,Operating Income,Net Income,542000000,542000000,False
2016-10-30,FY2017 Q3,Operating Income,Tax & Other,97000000,97000000,False
2017-01-29,FY2017 Q4,Revenue,Gross Profit,1303000000,1303000000,False
2017-01-29,FY2017 Q4,Revenue,Cost of Revenue,870000000,870000000,False
2017-01-29,FY2017 Q4,Gross Profit,Operating Income,733000000,733000000,False
2017-01-29,FY2017 Q4,Gross Profit,Operating Expenses,570000000,570000000,False
2017-01-29,FY2017 Q4,Operating Income,Net Income,655000000,655000000,False
2017-01-29,FY2017 Q4,Operating Income,Tax & Other,78000000,78000000,False
2017-04-30,FY2018 Q1,Revenue,Gross Profit,1150000000,1150000000,False
2017-04-30,FY2018 Q1,Revenue,Cost of Revenue,787000000,787000000,False
2017-04-30,FY2018 Q1,Gross Profit,Operating Income,554000000,554000000,False
2017-04-30,FY2018 Q1,Gross Profit,Operating Expenses,596000000,596000000,False
2017-04-30,FY2018 Q1,Operating Income,Net Income,507000000,507000000,False
2017-04-30,FY2018 Q1,Operating Income,Tax & Other,47000000,47000000,False
2017-07-30,FY2018 Q2,Revenue,Gross Profit,1302000000,1302000000,False
2017-07-30,FY2018 Q2,Revenue,Cost of Revenue,928000000,928000000,False
2017-07-30,FY2018 Q2,Gross Profit,Operating Income,688000000,688000000,False
2017-07-30,FY2018 Q2,Gross Profit,Operating Expenses,614000000,614000000,False
2017-07-30,FY2018 Q2,Operating Income,Net Income,583000000,583000000,False
2017-07-30,FY2018 Q2,Operating Income,Tax & Other,105000000,105000000,False
2017-10-29,FY2018 Q3,Revenue,Gross Profit,1569000000,1569000000,False
2017-10-29,FY2018 Q3,Revenue,Cost of Revenue,1067000000,1067000000,False
2017-10-29,FY2018 Q3,Gross Profit,Operating Income,895000000,895000000,False
2017-10-29,FY2018 Q3,Gross Profit,Operating Expenses,674000000,674000000,False
2017-10-29,FY2018 Q3,Operating Income,Net Income,838000000,838000000,False
2017-10-29,FY2018 Q3,Operating Income,Tax & Other,57000000,57000000,False
2018-01-28,FY2018 Q4,Revenue,Gross Profit,1801000000,1801000000,False
2018-01-28,FY2018 Q4,Revenue,Cost of Revenue,1110000000,1110000000,False
2018-01-28,FY2018 Q4,Gross Profit,Operating Income,1073000000,1073000000,False
2018-01-28,FY2018 Q4,Gross Profit,Operating Expenses,728000000,728000000,False
2018-01-28,FY2018 Q4,Operating Income,Net Income,1118000000,1118000000,False
2018-01-28,FY2018 Q4,Operating Income,Tax & Other,45000000,-45000000,True
2018-04-29,FY2019 Q1,Revenue,Gross Profit,2068000000,2068000000,False
2018-04-29,FY2019 Q1,Revenue,Cost of Revenue,1139000000,1139000000,False
2018-04-29,FY2019 Q1,Gross Profit,Operating Income,1295000000,1295000000,False
2018-04-29,FY2019 Q1,Gross Profit,Operating Expenses,773000000,773000000,False
2018-04-29,FY2019 Q1,Operating Income,Net Income,1244000000,1244000000,False
2018-04-29,FY2019 Q1,Operating Income,Tax & Other,51000000,51000000,False
2018-07-29,FY2019 Q2,Revenue,Gross Profit,1975000000,1975000000,False
2018-07-29,FY2019 Q2,Revenue,Cost of Revenue,1148000000,1148000000,False
2018-07-29,FY2019 Q2,Gross Profit,Operating Income,1157000000,1157000000,False
2018-07-29,FY2019 Q2,Gross Profit,Operating Expenses,818000000,818000000,False
2018-07-29,FY2019 Q2,Operating Income,Net Income,1101000000,1101000000,False
2018-07-29,FY2019 Q2,Operating Income,Tax & Other,56000000,56000000,False
2018-10-28,FY2019 Q3,Revenue,Gross Profit,1921000000,1921000000,False
2018-10-28,FY2019 Q3,Revenue,Cost of Revenue,1260000000,1260000000,False
2018-10-28,FY2019 Q3,Gross Profit,Operating Income,1058000000,1058000000,False
2018-10-28,FY2019 Q3,Gross Profit,Operating Expenses,863000000,863000000,False
2018-10-28,FY2019 Q3,Operating Income,Net Income,1230000000,1230000000,False
2018-10-28,FY2019 Q3,Operating Income,Tax & Other,172000000,-172000000,True
2019-01-27,FY2019 Q4,Revenue,Gross Profit,1207000000,1207000000,False
2019-01-27,FY2019 Q4,Revenue,Cost of Revenue,998000000,998000000,False
2019-01-27,FY2019 Q4,Gross Profit,Operating Income,294000000,294000000,False
2019-01-27,FY2019 Q4,Gross Profit,Operating Expenses,913000000,913000000,False
2019-01-27,FY2019 Q4,Operating Income,Net Income,567000000,567000000,False
2019-01-27,FY2019 Q4,Operating Income,Tax & Other,273000000,-273000000,True
2019-04-28,FY2020 Q1,Revenue,Gross Profit,1296000000,1296000000,False
2019-04-28,FY2020 Q1,Revenue,Cost of Revenue,924000000,924000000,False
2019-04-28,FY2020 Q1,Gross Profit,Operating Income,358000000,358000000,False
2019-04-28,FY2020 Q1,Gross Profit,Operating Expenses,938000000,938000000,False
2019-04-28,FY2020 Q1,Operating Income,Net Income,394000000,394000000,False
2019-04-28,FY2020 Q1,Operating Income,Tax & Other,36000000,-36000000,True
2019-07-28,FY2020 Q2,Revenue,Gross Profit,1541000000,1541000000,False
2019-07-28,FY2020 Q2,Revenue,Cost of Revenue,1038000000,1038000000,False
2019-07-28,FY2020 Q2,Gross Profit,Operating Income,571000000,571000000,False
2019-07-28,FY2020 Q2,Gross Profit,Operating Expenses,970000000,970000000,False
2019-07-28,FY2020 Q2,Operating Income,Net Income,552000000,552000000,False
2019-07-28,FY2020 Q2,Operating Income,Tax & Other,19000000,19000000,False
2019-10-27,FY2020 Q3,Revenue,Gross Profit,1916000000,1916000000,False
2019-10-27,FY2020 Q3,Revenue,Cost of Revenue,1098000000,1098000000,False
2019-10-27,FY2020 Q3,Gross Profit,Operating Income,927000000,927000000,False
2019-10-27,FY2020 Q3,Gross Profit,Operating Expenses,989000000,989000000,False
